EntityName;Town;Nationality;Latitude;Longitude;Icon;IconSize;NamePosition;NameVisibleZoom;AlertPosition;AlertVisibleZoom;LinksTo
BA 106; Bordeaux-Mérignac;fr;44.820797;-0.709970;Airport;32;Up;7;Right;7;
BA 107; Villacoublay;fr;48.774279;2.191644;Airport;32;Up;7;Right;7;
BA 118; Mont-de-Marsan;fr;43.911559;-0.509233;Airport;32;Up;7;Right;7;
BA 120; Cazaux;fr;44.535;-1.131;Airport;32;Up;7;Right;7;
BA 113; Saint-Dizier-Robinson;fr;48.633845;4.908013;Airport;32;Up;7;Right;7;
BA 133; Nancy-Ochey;fr;48.584;5.9551;Airport;32;Up;7;Right;7;
BA 125; Istres – Le Tubé;fr;43.523;4.924;Airport;32;Up;7;Right;7;
BA 702; Avord;fr;47.053;2.632;Airport;32;Up;7;Right;7;
BA 115; Orange-Caritat;fr;44.14831;4.859734;Airport;32;Up;7;Right;7;
BA 126; Solenzara;fr;41.924;9.406;Airport;32;Up;7;Right;7;
BA 103; Cambrai-Épinoy;fr;50.219561;3.152733;Airport;32;Up;7;Right;7;
BA 124; Strasbourg-Entzheim;fr;48.542239;7.634039;Airport;32;Up;7;Right;7;
BA 136; Toul-Rosières;fr;48.782365;5.981463;Airport;32;Up;7;Right;7;
BA 279; Châteaudun;fr;48.058;1.377;Airport;32;Up;7;Right;7;
BA 101; Toulouse-Francazal;fr;43.56;1.45;Airport;32;Up;7;Right;7;
BA 102; Dijon-Longvic;fr;47.25;5.05;Airport;32;Up;7;Right;7;
BA 112; Reims-Champagne;fr;49.310278;4.05;Airport;32;Up;7;Right;7;
BA 721; Rochefort-Saint-Agnant;fr;45.897;-0.983;Airport;32;Up;7;Right;7;
BA 701; Salon-de-Provence;fr;43.606;5.105;Airport;32;Up;7;Right;7;
BA 123; Orléans-Bricy;fr;47.98;1.760;Airport;32;Up;7;Right;7;
BA 110; Creil;fr;49.33;2.520;Airport;32;Up;7;Right;7;
BA 365; Tahiti-Faaa;fr;-17.56;-149.606;Airport;32;Up;7;Right;7;
BA 270; Saint-Denis-Gillot;fr;-20.89;55.511;Airport;32;Up;7;Right;7;
BA 160; Pointe-à-Pitre Le Raizet;fr;16.272;-61.526;Airport;32;Up;7;Right;7;
BA 190; Cayenne Rochambeau;fr;4.819;-52.361;Airport;32;Up;7;Right;7;
Büchel;Büchel;de;50.1764;7.0578;Airport;32;Up;7;Right;7;
Wunstorf;Wunstorf;de;52.45497;9.43021;Airport;32;Up;7;Right;7;
Faßberg;Faßberg;de;52.9071;10.1838;Airport;32;Up;7;Right;7;
Holzdorf;Holzdorf / Schönewalde;de;51.7679;13.1676;Airport;32;Up;7;Right;7;
Lechfeld;Lagerlechfeld;de;48.185;10.857;Airport;32;Up;7;Right;7;
Fritzlar;Fritzlar;de;51.11667;9.28814;Airport;32;Up;7;Right;7;
Laupheim;Laupheim;de;48.246;9.873;Airport;32;Up;7;Right;7;
Diepholz;Diepholz;de;52.6;8.533;Airport;32;Up;7;Right;7;
Ramstein;Ramstein-Miesenbach;us;49.4368;7.6003;Airport;32;Up;7;Right;7;
Amendola;Foggia;it;41.541;15.718;Airport;32;Up;7;Right;7;
Aviano;Aviano;us;46.032;12.596;Airport;32;Up;7;Right;7;
Ghedi;Ghedi (près de Brescia);it;45.4322;10.2678;Airport;32;Up;7;Right;7;
Gioia del Colle;Gioia del Colle;it;40.768;16.933;Airport;32;Up;7;Right;7;
Grosseto;Grosseto;it;42.76;11.072;Airport;32;Up;7;Right;7;
Grazzanise;Grazzanise (Caserta);it;41.06;14.082;Airport;32;Up;7;Right;7;
Rivolto;Codroipo (Udine);it;45.981;13.051;Airport;32;Up;7;Right;7;
Sigonella;Sicile (près de Catane);it;37.401667;14.922222;Airport;32;Up;7;Right;7;
Latina;Latina;it;41.542;12.909;Airport;32;Up;7;Right;7;
Pisa;Pisa;it;43.684;10.393;Airport;32;Up;7;Right;7;
Catania;Sicile;it;37.402;14.922;Airport;32;Up;7;Right;7;
Lecce;Galatina (près de Lecce);it;40.239;18.133;Airport;32;Up;7;Right;7;
